"Timestamp","La aplicación funciona como espero.","La aplicación hace los cálculos correctos (sin errores).","Puedo usar la aplicación desde cualquiera de mis dispositivos.","La aplicación guarda mis datos. (Nunca ha perdido datos)","Puedo usar la aplicación para las asignaturas que curso.","La aplicación es fácil de aprender.","La aplicación es fácil de usar.","La aplicación responde rápidamente a mis acciones.","Sé cómo usar la aplicación en general.","Sé cómo crear una asignatura.","Entiendo toda la información de las tarjetas de las  asignaturas.","Disfruto usando la aplicación.","Recomendaría la aplicación.","Hay personas que usan la aplicación gracias a mí.","La aplicación me ayuda a lograr mis objetivos. (En relación con la gestión de tus notas)","La aplicación me ayuda a aprobar las asignaturas.","Abro la aplicación con frecuencia.","Abro la aplicación cuando recibo una nueva nota.","El logo, nombre y estilo de GradeCalc son fáciles de recordar.","Me gustan el logo, nombre y estilo de GradeCalc.","Si quieres, puedes dejar un comentario sobre cualquier otro aspecto de la app. (Errores, sugerencias...)"
"2020/06/19 3:52:25 PM GMT+2","5","1","3","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",""
"2020/06/19 4:22:58 PM GMT+2","5","5","5","3","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5",""
"2020/06/19 5:36:14 PM GMT+2","4","4","5","3","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","Errores al conectarlo con el móvil. Respecto al resto, muy útil."
"2020/06/19 6:17:18 PM GMT+2","5","5","4","5","5","5","5","5","5","5","5","5","5","5","5","4","4","5","5","5","En algunos dispositivos se queda atascado al crear una asignatura, y no se puede añadir."
"2020/06/19 8:10:02 PM GMT+2","5","4","5","4","5","5","5","4","5","5","5","5","5","1","5","2","4","5","5","5","No soy ningún experto, y la app es la ostia, pero creo que hay lugar para pequeñas mejoras en UX(/UI)."
"2020/06/20 1:13:39 AM GMT+2","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","5","Hace poco me fallo con el calculo de las assigs pk cambié el % de los exámenes y proyectos y en próximas veces no lo tenía guardado con el valor que puse yo, sino con el original."
"2020/06/20 8:17:08 AM GMT+2","4","5","4","2","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5",""
"2020/06/20 11:24:04 AM GMT+2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",""
"2020/06/20 1:03:43 PM GMT+2","5","5","5","5","5","5","5","5","5","4","4","5","5","5","5","4","5","5","5","5","A veces el metodo de avaluacion ha cambiado en la asignatura pero no se ha actualizado en grade calc. Aun así es más que comprensible ya que hay muchas asignaturas y posiblemente muy poca gente gestionando la aplicacion"
"2020/06/20 3:27:29 PM GMT+2","5","5","5","4","5","5","5","5","5","3","5","5","5","5","5","3","5","5","5","5",""
